iter	RMSE
0	14.82797425
1	14.46624565
2	14.07585415
3	13.72450827
4	13.38657562
5	13.06616773
6	12.75254474
7	12.44649423
8	12.15842049
9	11.8646095
10	11.57496242
11	11.30263456
12	11.06704154
13	10.83021393
14	10.59099513
15	10.34858207
16	10.12879513
17	9.914554398
18	9.710777296
19	9.503546445
20	9.332241058
21	9.158742868
22	8.983634414
23	8.826323024
24	8.673583493
25	8.542868433
26	8.395021482
27	8.262288179
28	8.13325392
29	8.01171127
30	7.904821578
31	7.796178182
32	7.692406489
33	7.599892767
34	7.489080421
35	7.396078579
36	7.298155575
37	7.211660291
38	7.125652231
39	7.043527545
40	6.974305657
41	6.907586878
42	6.829389219
43	6.776250345
44	6.718050588
45	6.656087002
46	6.595732689
47	6.536981149
48	6.477734221
49	6.426884227
50	6.375351594
51	6.32338159
52	6.275521994
53	6.229346404
54	6.184852384
55	6.143323185
56	6.109076614
57	6.07608837
58	6.036089034
59	6.00396962
60	5.970554382
61	5.93648683
62	5.89758795
63	5.863923157
64	5.838469115
65	5.808175786
66	5.779523176
67	5.751642533
68	5.733736827
69	5.711391958
70	5.686602337
71	5.667730066
72	5.649375716
73	5.62818523
74	5.607560529
75	5.58880235
76	5.5709929
77	5.551657388
78	5.534408178
79	5.519495197
80	5.501627063
81	5.486355953
82	5.472170423
83	5.456339263
84	5.442669994
85	5.429028764
86	5.416552945
87	5.403013114
88	5.392061986
89	5.380902153
90	5.367317156
91	5.355628084
92	5.345049554
93	5.335359178
94	5.325340646
95	5.314465971
96	5.309098028
97	5.302402588
98	5.290345362
99	5.281884743
100	5.271272797
101	5.260960827
102	5.253320651
103	5.242888709
104	5.23402069
105	5.223739857
106	5.212373314
107	5.204138074
108	5.195955811
109	5.189922141
110	5.188493998
111	5.180181567
112	5.172269343
113	5.165130164
114	5.160925319
115	5.154131587
116	5.147980007
117	5.144209081
118	5.141986962
119	5.132959766
120	5.127150787
121	5.123890562
122	5.116327721
123	5.110898518
124	5.102386802
125	5.097358121
126	5.091576714
127	5.083752504
128	5.0762096
129	5.070759682
130	5.065169963
131	5.059489548
132	5.05358497
133	5.046669407
134	5.044028382
135	5.040647942
136	5.036297993
137	5.031592918
138	5.023793945
139	5.017262697
140	5.016738111
141	5.012553881
142	5.008460424
143	5.005192633
144	4.99757213
145	4.993753832
146	4.990535008
147	4.988052459
148	4.983892382
149	4.978262591
150	4.975098724
151	4.97055394
152	4.963141903
153	4.960755935
154	4.957272994
155	4.953030892
156	4.946351119
157	4.939536763
158	4.936819754
159	4.932979741
160	4.931173496
161	4.927026819
162	4.923987593
163	4.922505426
164	4.915625492
165	4.90909895
166	4.907032293
167	4.903759456
168	4.899722617
169	4.895941044
170	4.891892276
171	4.887078199
172	4.881253914
173	4.8763381
174	4.870930801
175	4.865598433
176	4.86316278
177	4.857521787
178	4.854928349
179	4.849095703
180	4.842632918
181	4.839364861
182	4.834175109
183	4.830779397
184	4.825117046
185	4.819148734
186	4.814635584
187	4.812640498
188	4.808880637
189	4.806300949
190	4.802857607
191	4.797389913
192	4.792345152
193	4.787967648
194	4.786289989
195	4.780879312
196	4.777035176
197	4.773837102
198	4.769748224
199	4.766587503
200	4.764583485
201	4.760316202
202	4.75760755
203	4.753507648
204	4.751001758
205	4.745115126
206	4.744843955
207	4.742319928
208	4.739669069
209	4.736325511
210	4.733396773
211	4.729225366
212	4.725764561
213	4.724273664
214	4.720759532
215	4.718771245
216	4.714961862
217	4.711595873
218	4.708364898
219	4.705354613
220	4.703467565
221	4.69998075
222	4.695614077
223	4.690212169
224	4.687403466
225	4.68434841
226	4.679931103
227	4.677139252
228	4.674805239
229	4.672479728
230	4.66838799
231	4.665874299
232	4.662511771
233	4.6586354
234	4.656601038
235	4.651567264
236	4.647944581
237	4.646554998
238	4.644579676
239	4.640551695
240	4.63925331
241	4.634919314
242	4.63073598
243	4.627831168
244	4.625348007
245	4.623457212
246	4.62021942
247	4.61749093
248	4.61001169
249	4.607657206
250	4.605663915
251	4.603420042
252	4.59761521
253	4.591447242
254	4.589801029
255	4.585342462
256	4.580165073
257	4.575944214
258	4.573227412
259	4.572532273
260	4.569866686
261	4.567371609
262	4.561877899
263	4.555428089
264	4.555210463
265	4.549849809
266	4.548256961
267	4.544952167
268	4.54343966
269	4.541443623
