iter	Passed	Remaining
0	148	148297
1	148	74304
2	149	49621
3	149	37276
4	150	29870
5	150	24932
6	151	21422
7	151	18780
8	151	16724
9	152	15078
10	152	13736
11	153	12615
12	153	11668
13	154	10855
14	154	10150
15	155	9533
16	155	8988
17	155	8505
18	156	8075
19	156	7684
20	157	7331
21	157	7009
22	158	6716
23	158	6447
24	159	6201
25	159	5972
26	159	5762
27	160	5565
28	160	5382
29	161	5211
30	161	5052
31	162	4903
32	162	4761
33	162	4630
34	163	4505
35	163	4386
36	164	4274
37	164	4168
38	165	4067
39	165	3972
40	165	3880
41	166	3794
42	166	3711
43	167	3637
44	167	3562
45	168	3490
46	168	3421
47	169	3355
48	169	3291
49	170	3230
50	170	3171
51	170	3115
52	171	3061
53	171	3008
54	172	2958
55	172	2909
56	173	2862
57	173	2816
58	173	2773
59	174	2730
60	174	2689
61	175	2651
62	175	2613
63	176	2576
64	176	2540
65	177	2505
66	177	2472
67	178	2439
68	178	2407
69	178	2375
70	179	2345
71	179	2316
72	180	2288
73	180	2260
74	181	2234
75	181	2207
76	182	2183
77	182	2158
78	183	2134
79	183	2110
80	184	2087
81	184	2065
82	184	2043
83	185	2022
84	185	2001
85	186	1980
86	186	1960
87	187	1940
88	187	1920
89	188	1901
90	188	1882
91	188	1865
92	189	1847
93	189	1830
94	190	1813
95	190	1796
96	191	1779
97	191	1763
98	192	1747
99	192	1732
100	192	1717
101	193	1702
102	193	1687
103	194	1673
104	194	1659
105	195	1645
106	195	1632
107	195	1618
108	196	1605
109	196	1593
110	197	1578
111	197	1566
112	197	1554
113	198	1542
114	198	1530
115	199	1518
116	199	1507
117	200	1495
118	200	1484
119	200	1473
120	201	1462
121	201	1451
122	202	1441
123	202	1431
124	203	1422
125	203	1412
126	204	1402
127	204	1393
128	204	1383
129	205	1374
130	205	1365
131	206	1356
132	206	1347
133	207	1339
134	207	1330
135	208	1321
136	208	1313
137	209	1305
138	209	1297
139	209	1289
140	210	1279
141	210	1272
142	210	1264
143	211	1257
144	211	1249
145	212	1242
146	212	1235
147	213	1228
148	213	1221
149	214	1214
150	214	1207
151	215	1200
152	215	1193
153	216	1187
