iter	Passed	Remaining
0	0	977
1	1	896
2	2	814
3	3	765
4	3	726
5	4	702
6	4	693
7	5	678
8	6	670
9	6	659
10	7	656
11	7	651
12	8	658
13	9	661
14	10	669
15	10	665
16	11	663
17	12	657
18	12	656
19	13	653
20	13	650
21	14	648
22	15	658
23	16	657
24	16	654
25	17	655
26	18	652
27	18	653
28	19	653
29	20	649
30	20	646
31	21	646
32	21	643
33	22	640
34	23	645
35	24	645
36	24	645
37	25	646
38	26	648
39	26	645
40	27	644
41	28	643
42	28	640
43	30	652
44	30	650
45	31	649
46	32	649
47	32	648
48	33	645
49	33	645
50	34	644
51	35	645
52	36	643
53	36	642
54	37	640
55	38	646
56	39	648
57	39	648
58	40	647
59	41	646
60	41	645
61	42	643
62	44	659
63	45	661
64	45	661
65	46	660
66	47	657
67	47	655
68	48	654
69	49	652
70	49	651
71	50	649
72	51	648
73	51	646
74	52	645
75	53	644
76	53	645
77	54	645
78	55	644
79	55	642
80	56	640
81	57	639
82	57	634
83	58	636
84	59	635
85	59	634
86	60	634
87	61	632
88	61	631
89	62	630
90	62	629
91	63	628
92	64	628
93	65	626
94	65	625
95	66	624
96	66	622
97	67	623
98	68	623
99	69	622
100	69	620
101	70	619
102	71	619
103	71	618
104	72	617
105	73	616
106	73	614
107	74	614
108	75	613
109	75	612
110	76	611
111	77	612
112	77	611
113	78	610
114	79	609
115	79	607
116	80	605
117	80	604
118	81	602
119	82	605
120	83	604
121	83	602
122	84	602
123	85	600
124	85	599
125	86	598
126	86	596
127	87	595
128	87	594
129	88	595
130	89	593
131	90	592
132	90	590
133	91	589
134	91	588
135	92	587
136	92	585
137	93	584
138	94	583
139	94	582
140	95	581
141	95	579
142	96	578
143	97	579
144	98	578
145	98	577
146	99	577
147	100	576
148	100	575
149	101	574
150	101	573
151	102	571
152	103	570
153	103	569
154	104	568
155	104	567
156	105	566
157	106	565
158	106	563
159	107	563
160	107	561
161	108	560
162	108	559
163	109	557
164	110	556
165	110	555
166	111	555
167	112	557
168	113	557
169	114	557
170	114	557
171	115	556
172	116	555
173	116	554
174	117	553
175	118	552
176	118	551
177	119	550
178	119	548
179	120	548
180	120	547
181	121	546
182	122	545
183	122	544
184	123	543
185	123	542
186	124	541
187	125	540
188	125	540
189	127	541
190	127	542
191	128	541
192	129	540
193	130	541
194	130	540
195	131	539
196	132	538
197	132	537
198	133	536
199	134	536
200	134	536
201	135	535
202	136	534
203	136	533
204	137	532
205	137	531
206	138	530
207	139	529
208	139	529
209	140	528
210	141	528
211	142	527
212	142	527
213	143	526
214	144	526
215	144	525
216	145	524
217	145	522
218	146	522
219	147	521
220	147	520
221	148	519
222	148	519
223	149	518
224	150	517
225	150	516
226	151	515
227	152	514
228	153	517
229	154	516
230	154	515
231	155	515
232	156	514
233	157	514
234	157	513
235	158	512
236	158	511
237	159	510
238	160	510
239	161	509
240	161	508
241	162	508
242	162	507
243	163	506
244	163	505
245	164	504
246	165	503
247	167	507
248	168	507
249	169	507
250	169	507
251	171	510
252	172	509
253	173	508
254	173	507
255	174	506
256	174	505
257	175	504
258	176	503
259	176	502
260	177	502
261	178	501
262	178	500
263	179	499
264	179	498
265	180	498
266	181	497
267	181	495
268	182	495
269	182	494
270	183	493
271	183	492
272	184	491
273	184	490
274	185	490
275	186	489
276	187	489
277	187	488
278	188	487
279	189	486
280	189	485
281	190	484
282	191	483
283	191	483
284	192	482
285	192	481
286	193	480
287	194	480
288	194	479
289	195	478
290	196	477
291	196	476
292	197	476
293	197	475
294	198	474
295	199	474
296	199	473
297	202	476
298	203	476
299	203	475
300	204	474
301	205	474
302	205	473
303	206	472
